Displacement, Horse_power, Weight, Acceleration, Model_year,target
91,70,1955,20.5,71,26
232,100,2789,15,73,18
350,145,4055,12,76,13
318,140,4080,13.7,78,17.5
113,95,2372,15,70,24
97,60,1834,19,71,27
350,180,4380,12.1,76,16.5
400,150,4464,12,73,13
225,105,3439,15.5,71,16
173,115,2595,11.3,79,28.8
70,90,2124,13.5,73,18
97,78,2188,15.8,80,34.3
86,65,1975,15.2,79,34.1
351,142,4054,14.3,79,15.5
350,105,3725,19,81,26.6
156,108,2930,15.5,76,19
115,95,2694,15,75,23
231,115,3245,15.4,79,21.5
198,95,3102,16.5,74,20
140,89,2755,15.8,77,25.5
121,76,2511,18,72,22
85,65,2110,19.2,80,40.8
250,100,3336,17,74,15
112,88,2395,18,82,34
429,198,4341,10,70,15
168,120,3820,16.7,76,16.5
225,100,3430,17.2,78,20.5
107,75,2205,14.5,82,36
97,54,2254,23.5,72,23
304,193,4732,18.5,70,9
140,72,2401,19.5,73,21
71,65,1836,21,74,32
90,75,2125,14.5,74,28
91,60,1800,16.4,78,36.1
98,65,2045,16.2,81,34.4
98,66,1800,14.4,78,36.1
351,153,4129,13,72,14
318,150,3940,13.2,76,13
120,87,2979,19.5,72,21
116,90,2123,14,71,28
85,70,2070,18.6,78,39.4
85,70,1990,17,76,32
250,105,3897,18.5,75,16
151,90,2950,17.3,82,27
79,58,1825,18.6,77,36
250,88,3021,16.5,73,18
156,122,2807,13.5,73,20
225,95,3785,19,75,18
90,71,2223,16.5,75,25
112,85,2575,16.2,82,31
350,180,3664,11,73,11
400,230,4278,9.5,73,16
440,215,4312,8.5,70,14
151,90,2678,16.5,80,28
168,116,2900,12.6,81,25.4
225,100,3630,17.7,77,19
140,86,2790,15.6,82,27
231,110,3907,21,75,17
110,87,2672,17.5,70,25
89,71,1990,14.9,78,31.5
121,98,2945,14.5,75,22
156,105,2745,16.7,78,23.2
91,67,1965,15.7,82,32
98,83,2219,16.5,74,29
134,90,2711,15.5,80,29.8
351,148,4657,13.5,75,14
122,88,2500,15.1,80,35
122,86,2220,14,71,23
146,120,2930,13.8,81,24.2
89,71,1925,14,79,31.9
98,80,2164,15,72,28
79,67,1950,19,74,31
97,52,2130,24.6,82,44
250,105,3353,14.5,76,22
97,67,2065,17.8,81,32.3
98,80,1915,14.4,79,35.7
302,139,3205,11.2,78,18.1
400,175,4385,12,72,14
145,76,3160,19.6,81,30.7
70,97,2330,13.5,72,19
98,65,2380,20.7,81,29.9
199,97,2774,15.5,70,18
400,150,3761,9.5,70,15
163,133,3410,15.8,78,16.2
98,63,2051,17,77,30.5
107,90,2430,14.5,70,24
105,70,2200,13.2,79,34.2
318,150,4190,13,76,16
140,90,2264,15.5,71,28
120,75,2542,17.5,80,31.3
200,85,2965,15.8,78,20.2
168,132,2910,11.4,80,32.7
79,58,1755,16.9,81,39.1
232,90,3265,18.2,79,20.2
120,74,2635,18.3,81,31.6
360,150,3940,13,79,18.5
98,60,2164,22.1,76,24.5
98,68,2045,18.5,77,31.5
121,110,2660,14,73,24
91,68,1985,16,81,34.1
122,85,2310,18.5,73,19
455,225,4951,11,73,12
231,105,3425,16.9,77,20.5
119,97,2545,17,75,24
119,97,2405,14.9,78,23.9
304,150,3672,11.5,73,14
163,125,3140,13.6,78,17
97,71,1825,12.2,76,29.5
198,95,2904,16,73,23
97,88,2100,16.5,72,27
305,145,3425,13.2,78,19.2
400,175,5140,12,71,13
250,105,3459,16,75,18
250,98,3525,19,77,18.5
181,110,2945,16.4,82,25
120,97,2506,14.5,72,23
97.5,80,2126,17,72,25
351,158,4363,13,73,13
350,145,4440,14,75,15
225,110,3620,18.7,78,18.6
429,208,4633,11,72,11
86,64,1875,16.4,81,39
131,103,2830,15.9,78,20.3
141,71,3190,24.8,79,27.2
108,75,2265,15.2,80,32.2
140,90,2408,19.5,72,20
351,153,4154,13.5,71,14
96,69,2189,18,72,26
250,100,3282,15,71,19
98,79,2255,17.7,76,26
119,100,2615,14.8,81,32.9
97,46,1835,20.5,70,26
120,88,3270,21.9,76,19
173,110,2725,12.6,81,23.5
91,68,1970,17.6,82,31
225,85,3465,16.6,81,17.6
134,95,2560,14.2,78,27.5
302,140,4141,14,74,16
122,86,2395,16,72,22
350,160,4456,13.5,72,12
120,88,2160,14.5,82,36
232,112,2835,14.7,82,22
108,70,2245,16.9,82,34
119,82,2720,19.4,82,31
250,100,3278,18,73,16
98,68,2155,16.5,78,30
198,95,2833,15.5,70,22
119,97,2300,14.7,78,27.2
97,78,2300,14.5,74,26
440,215,4735,11,73,13
144,96,2665,13.9,82,32
98,90,2265,15.5,73,26
97,75,2265,18.2,77,26
429,198,4952,11.5,73,12
318,150,4237,14.5,73,14
76,52,1649,16.5,74,31
90,48,1985,21.5,78,43.1
83,61,2003,19,74,32
97,75,2171,16,75,29
171,97,2984,14.5,75,18
304,150,3672,11.5,72,17
250,72,3158,19.5,75,15
400,170,4746,12,71,13
120,97,2489,15,74,24
135,84,2370,13,82,36
89,60,1968,18.8,80,38.1
119,92,2434,15,80,37
351,152,4215,12.8,76,14.5
318,210,4382,13.5,70,11
135,84,2490,15.7,81,27.2
231,110,3039,15,75,21
200,88,3060,17.1,81,20.2
183,77,3530,20.1,79,25.4
151,90,2735,18,82,27
91,68,2025,18.2,82,37
107,86,2464,15.5,76,28
135,84,2295,11.6,82,32
108,75,2350,16.8,81,32.4
105,74,2190,14.2,81,33
262,85,3015,17,82,38
71,65,1773,19,71,31
85,52,2035,22.2,76,29
232,100,2914,16,75,20
98,70,2120,15.5,80,32.1
225,110,3360,16.6,79,20.6
105,63,2215,14.9,81,34.7
140,92,2865,16.4,82,24
108,93,2391,15.5,74,26
116,81,2220,16.9,76,25
225,95,3264,16,75,19
302,140,3449,10.5,70,17
97,88,2279,19,73,20
90,75,2108,15.5,74,24
97,92,2288,17,72,28
121,110,2600,12.8,77,21.5
156,92,2620,14.4,81,25.8
250,88,3302,15.5,71,19
351,149,4335,14.5,77,16
350,145,4082,13,73,15
141,80,3230,20.4,81,28.1
305,145,3880,12.5,77,17.5
302,129,3169,12,75,13
360,215,4615,14,70,10
135,84,2525,16,82,29
90,48,2085,21.7,80,44.3
318,150,4135,13.5,72,15
140,92,2572,14.9,76,25
98,76,2144,14.7,80,41.5
318,140,3735,13.2,78,19.4
151,90,2670,16,79,28.4
140,83,2639,17,75,23
340,160,3609,8,70,14
114,91,2582,14,73,20
302,137,4042,14.5,73,14
318,150,4077,14,72,14
250,110,3520,16.4,77,17.5
68,49,1867,19.5,73,29
307,200,4376,15,70,10
98,70,2125,17.3,82,36
350,165,4274,12,72,13
70,100,2420,12.5,80,23.7
97,67,1985,16.4,77,30
113,95,2228,14,71,25
260,110,3365,15.5,78,19.9
120,79,2625,18.6,82,28
383,170,3563,10,70,15
130,102,3150,15.7,76,20
318,150,4096,13,71,14
104,95,2375,17.5,70,25
250,100,3329,15.5,71,17
91,67,1965,15,82,38
105,63,2125,14.7,82,38
360,175,3821,11,73,13
350,155,4360,14.9,79,16.9
91,53,1795,17.5,75,33
85,65,2020,19.2,79,31.8
151,85,2855,17.6,78,23.8
260,90,3420,22.2,79,23.9
97,78,1940,14.5,77,29
97,78,2190,14.1,77,30.5
258,120,3410,15.1,78,18.1
351,138,3955,13.2,79,16.5
200,85,2990,18.2,79,19.8
134,96,2702,13.5,75,24
98,83,2075,15.9,77,33.5
360,170,4654,13,73,13
122,86,2226,16.5,72,21
122,80,2451,16.5,74,26
105,75,2230,14.5,78,30.9
318,150,3755,14,76,13
200,81,3012,17.6,76,24
232,90,3210,17.2,78,19.4
151,90,3003,20.1,80,24.3
88,76,2065,14.5,71,30
302,130,3870,15,76,13
318,150,4498,14.5,75,16
98,68,2135,16.6,78,29.5
121,112,2868,15.5,73,19
400,150,4997,14,73,11
400,175,4464,11.5,71,14
79,67,1963,15.5,74,26
90,70,1937,14.2,76,29
304,150,3892,12.5,72,15
97,67,2145,18,80,33.8
121,112,2933,14.5,72,18
305,140,4215,13,76,17.5
121,113,2234,12.5,70,26
250,100,3781,17,74,16
318,150,3777,12.5,73,15
350,165,4209,12,71,14
90,70,1937,14,75,29
134,95,2515,14.8,78,21.1
78,52,1985,19.4,78,32.8
107,75,2210,14.4,81,33.7
250,78,3574,21,76,18
173,115,2700,12.9,79,26.8
86,65,2110,17.9,80,46.6
91,53,1795,17.4,76,33
81,60,1760,16.1,81,35.1
151,84,2635,16.4,81,26.6
350,145,3988,13,73,13
383,180,4955,11.5,71,12
105,70,2150,14.9,79,34.5
199,90,2648,15,70,21
121,115,2795,15.7,78,21.6
390,190,3850,8.5,70,15
400,170,4668,11.5,75,16
89,62,2050,17.3,81,37.7
121,80,2670,15,79,27.4
455,225,3086,10,70,14
91,67,1995,16.2,82,38
225,90,3381,18.7,80,19.1
232,90,3085,17.6,76,22.5
85,70,1945,16.8,77,33.5
135,84,2385,12.9,81,30
140,88,2870,18.1,80,26.4
400,190,4325,12.2,77,15.5
350,150,4699,14.5,74,13
305,130,3840,15.4,79,17
267,125,3605,15,79,19.2
120,88,2957,17,75,23
231,165,3445,13.4,78,17.7
155,107,2472,14,73,21
302,140,4294,16,72,13
108,94,2379,16.5,73,22
156,105,2800,14.4,80,27.9
140,88,2890,17.3,79,22.3
318,150,4457,13.5,74,14
200,85,2587,16,70,21
140,72,2565,13.6,76,26.5
318,145,4140,13.7,77,15.5
121,115,2671,13.5,75,25
79,70,2074,19.5,71,30
262,110,3221,13.5,75,20
91,67,1850,13.8,80,44.6
304,150,4257,15.5,74,14
250,88,3139,14.5,71,18
111,80,2155,14.8,77,30
350,125,3900,17.4,79,23
200,95,3155,18.2,78,20.5
146,97,2815,14.5,77,22
231,105,3535,19.2,78,19.2
97,88,2130,14.5,71,27
400,167,4906,12.5,73,12
112,88,2605,19.6,82,28
116,75,2158,15.5,73,24
140,72,2408,19,71,22
400,180,4220,11.1,77,16
350,180,4499,12.5,73,12
232,100,3288,15.5,71,18
90,48,2335,23.7,80,43.4
318,135,3830,15.2,79,18.2
72,69,1613,18,71,35
97,46,1950,21,73,26
89,62,1845,15.3,80,29.8
140,75,2542,17,74,25
231,105,3380,15.8,78,20.6
304,150,3433,12,70,16
258,110,3632,18,74,16
258,110,2962,13.5,71,18
113,95,2278,15.5,72,24
350,155,4502,13.5,72,13
122,96,2300,15.5,77,25.5
258,110,3730,19,75,15
318,150,3436,11,70,18
318,150,3399,11,73,15
146,67,3250,21.8,80,30
250,72,3432,21,75,15
225,100,3233,15.4,76,22
86,65,2019,16.4,80,37.2
250,110,3645,16.2,76,18.5
455,225,4425,10,70,14
302,129,3725,13.4,79,17.6
80,110,2720,13.5,77,21.5
232,100,2901,16,74,19
232,100,2945,16,73,18
140,88,2720,15.4,78,25.1
105,74,1980,15.3,82,36
151,88,2740,16,77,24.5
400,190,4422,12.5,72,13
101,83,2202,15.3,76,27
121,67,2950,19.9,80,36.4
79,67,2000,16,74,31
225,105,3613,16.5,74,18
307,130,4098,14,72,13
302,130,4295,14.9,77,15
116,75,2246,14,74,26
258,95,3193,17.8,76,17.5
350,170,4165,11.4,77,15.5
156,92,2585,14.5,82,26
350,175,4100,13,73,13
231,110,3415,15.8,81,22.4
232,90,3211,17,75,19
260,110,4060,19,77,17
151,90,2556,13.2,79,33.5
302,139,3570,12.8,78,20.2
304,120,3962,13.9,76,15.5
302,140,4638,16,74,14
225,100,3651,17.7,76,20
140,78,2592,18.5,75,23
97,88,2130,14.5,70,27
200,85,3070,16.7,78,20.8
97,75,2155,16.4,76,28
112,88,2640,18.6,82,27
232,100,2634,13,71,19
107,72,2290,17,80,32.4
91,69,2130,14.7,79,37.3
225,105,3121,16.5,73,18
454,220,4354,9,70,14
85,65,1975,19.4,81,37
350,165,3693,11.5,70,15
307,130,3504,12,70,18
