Ytm1,Ytm2,Ytm3,Ytm4,Utm1,Utm2,Utm3,Utm4,Utm5,Utm6,target
52.7,53.1,53.4,53.5,53.5,0.441,0.373,0.339,0.178,0,-0.109
52.4,52.7,53.1,53.4,53.5,0.461,0.441,0.373,0.339,0.178,0
52.2,52.4,52.7,53.1,53.4,0.348,0.461,0.441,0.373,0.339,0.178
52,52.2,52.4,52.7,53.1,0.127,0.348,0.461,0.441,0.373,0.339
52,52,52.2,52.4,52.7,-0.18,0.127,0.348,0.461,0.441,0.373
52.4,52,52,52.2,52.4,-0.588,-0.18,0.127,0.348,0.461,0.441
53,52.4,52,52,52.2,-1.06,-0.588,-0.18,0.127,0.348,0.461
54,53,52.4,52,52,-1.42,-1.06,-0.588,-0.18,0.127,0.348
54.9,54,53,52.4,52,-1.52,-1.42,-1.06,-0.588,-0.18,0.127
56,54.9,54,53,52.4,-1.3,-1.52,-1.42,-1.06,-0.588,-0.18
56.8,56,54.9,54,53,-0.814,-1.3,-1.52,-1.42,-1.06,-0.588
56.8,56.8,56,54.9,54,-0.475,-0.814,-1.3,-1.52,-1.42,-1.06
56.4,56.8,56.8,56,54.9,-0.193,-0.475,-0.814,-1.3,-1.52,-1.42
55.7,56.4,56.8,56.8,56,0.088,-0.193,-0.475,-0.814,-1.3,-1.52
55,55.7,56.4,56.8,56.8,0.435,0.088,-0.193,-0.475,-0.814,-1.3
54.3,55,55.7,56.4,56.8,0.771,0.435,0.088,-0.193,-0.475,-0.814
53.2,54.3,55,55.7,56.4,0.866,0.771,0.435,0.088,-0.193,-0.475
52.3,53.2,54.3,55,55.7,0.875,0.866,0.771,0.435,0.088,-0.193
51.6,52.3,53.2,54.3,55,0.891,0.875,0.866,0.771,0.435,0.088
51.2,51.6,52.3,53.2,54.3,0.987,0.891,0.875,0.866,0.771,0.435
50.8,51.2,51.6,52.3,53.2,1.26,0.987,0.891,0.875,0.866,0.771
50.5,50.8,51.2,51.6,52.3,1.78,1.26,0.987,0.891,0.875,0.866
50,50.5,50.8,51.2,51.6,1.98,1.78,1.26,0.987,0.891,0.875
49.2,50,50.5,50.8,51.2,1.93,1.98,1.78,1.26,0.987,0.891
48.4,49.2,50,50.5,50.8,1.87,1.93,1.98,1.78,1.26,0.987
47.9,48.4,49.2,50,50.5,1.83,1.87,1.93,1.98,1.78,1.26
47.6,47.9,48.4,49.2,50,1.77,1.83,1.87,1.93,1.98,1.78
47.5,47.6,47.9,48.4,49.2,1.61,1.77,1.83,1.87,1.93,1.98
47.5,47.5,47.6,47.9,48.4,1.27,1.61,1.77,1.83,1.87,1.93
47.6,47.5,47.5,47.6,47.9,0.79,1.27,1.61,1.77,1.83,1.87
48.1,47.6,47.5,47.5,47.6,0.36,0.79,1.27,1.61,1.77,1.83
49,48.1,47.6,47.5,47.5,0.115,0.36,0.79,1.27,1.61,1.77
50,49,48.1,47.6,47.5,0.088,0.115,0.36,0.79,1.27,1.61
51.1,50,49,48.1,47.6,0.331,0.088,0.115,0.36,0.79,1.27
51.8,51.1,50,49,48.1,0.645,0.331,0.088,0.115,0.36,0.79
51.9,51.8,51.1,50,49,0.96,0.645,0.331,0.088,0.115,0.36
51.7,51.9,51.8,51.1,50,1.41,0.96,0.645,0.331,0.088,0.115
51.2,51.7,51.9,51.8,51.1,2.67,1.41,0.96,0.645,0.331,0.088
50,51.2,51.7,51.9,51.8,2.83,2.67,1.41,0.96,0.645,0.331
48.3,50,51.2,51.7,51.9,2.81,2.83,2.67,1.41,0.96,0.645
47,48.3,50,51.2,51.7,2.48,2.81,2.83,2.67,1.41,0.96
45.8,47,48.3,50,51.2,1.93,2.48,2.81,2.83,2.67,1.41
45.6,45.8,47,48.3,50,1.49,1.93,2.48,2.81,2.83,2.67
46,45.6,45.8,47,48.3,1.21,1.49,1.93,2.48,2.81,2.83
46.9,46,45.6,45.8,47,1.24,1.21,1.49,1.93,2.48,2.81
47.8,46.9,46,45.6,45.8,1.61,1.24,1.21,1.49,1.93,2.48
48.2,47.8,46.9,46,45.6,1.91,1.61,1.24,1.21,1.49,1.93
48.3,48.2,47.8,46.9,46,2.02,1.91,1.61,1.24,1.21,1.49
47.9,48.3,48.2,47.8,46.9,1.82,2.02,1.91,1.61,1.24,1.21
47.2,47.9,48.3,48.2,47.8,0.535,1.82,2.02,1.91,1.61,1.24
47.2,47.2,47.9,48.3,48.2,0.122,0.535,1.82,2.02,1.91,1.61
48.1,47.2,47.2,47.9,48.3,0.009,0.122,0.535,1.82,2.02,1.91
49.4,48.1,47.2,47.2,47.9,0.164,0.009,0.122,0.535,1.82,2.02
50.6,49.4,48.1,47.2,47.2,0.671,0.164,0.009,0.122,0.535,1.82
51.5,50.6,49.4,48.1,47.2,1.02,0.671,0.164,0.009,0.122,0.535
51.6,51.5,50.6,49.4,48.1,1.15,1.02,0.671,0.164,0.009,0.122
51.2,51.6,51.5,50.6,49.4,1.16,1.15,1.02,0.671,0.164,0.009
50.5,51.2,51.6,51.5,50.6,1.11,1.16,1.15,1.02,0.671,0.164
50.1,50.5,51.2,51.6,51.5,1.12,1.11,1.16,1.15,1.02,0.671
49.8,50.1,50.5,51.2,51.6,1.22,1.12,1.11,1.16,1.15,1.02
49.6,49.8,50.1,50.5,51.2,1.26,1.22,1.12,1.11,1.16,1.15
49.4,49.6,49.8,50.1,50.5,1.16,1.26,1.22,1.12,1.11,1.16
49.3,49.4,49.6,49.8,50.1,0.913,1.16,1.26,1.22,1.12,1.11
49.2,49.3,49.4,49.6,49.8,0.62,0.913,1.16,1.26,1.22,1.12
49.3,49.2,49.3,49.4,49.6,0.255,0.62,0.913,1.16,1.26,1.22
49.7,49.3,49.2,49.3,49.4,-0.28,0.255,0.62,0.913,1.16,1.26
50.3,49.7,49.3,49.2,49.3,-1.08,-0.28,0.255,0.62,0.913,1.16
51.3,50.3,49.7,49.3,49.2,-1.55,-1.08,-0.28,0.255,0.62,0.913
52.8,51.3,50.3,49.7,49.3,-1.8,-1.55,-1.08,-0.28,0.255,0.62
54.4,52.8,51.3,50.3,49.7,-1.83,-1.8,-1.55,-1.08,-0.28,0.255
56,54.4,52.8,51.3,50.3,-1.46,-1.83,-1.8,-1.55,-1.08,-0.28
56.9,56,54.4,52.8,51.3,-0.944,-1.46,-1.83,-1.8,-1.55,-1.08
57.5,56.9,56,54.4,52.8,-0.57,-0.944,-1.46,-1.83,-1.8,-1.55
57.3,57.5,56.9,56,54.4,-0.431,-0.57,-0.944,-1.46,-1.83,-1.8
56.6,57.3,57.5,56.9,56,-0.577,-0.431,-0.57,-0.944,-1.46,-1.83
56,56.6,57.3,57.5,56.9,-0.96,-0.577,-0.431,-0.57,-0.944,-1.46
55.4,56,56.6,57.3,57.5,-1.62,-0.96,-0.577,-0.431,-0.57,-0.944
55.4,55.4,56,56.6,57.3,-1.88,-1.62,-0.96,-0.577,-0.431,-0.57
56.4,55.4,55.4,56,56.6,-1.89,-1.88,-1.62,-0.96,-0.577,-0.431
57.2,56.4,55.4,55.4,56,-1.75,-1.89,-1.88,-1.62,-0.96,-0.577
58,57.2,56.4,55.4,55.4,-1.47,-1.75,-1.89,-1.88,-1.62,-0.96
58.4,58,57.2,56.4,55.4,-1.2,-1.47,-1.75,-1.89,-1.88,-1.62
58.4,58.4,58,57.2,56.4,-0.927,-1.2,-1.47,-1.75,-1.89,-1.88
58.1,58.4,58.4,58,57.2,-0.524,-0.927,-1.2,-1.47,-1.75,-1.89
57.7,58.1,58.4,58.4,58,0.04,-0.524,-0.927,-1.2,-1.47,-1.75
57,57.7,58.1,58.4,58.4,0.788,0.04,-0.524,-0.927,-1.2,-1.47
56,57,57.7,58.1,58.4,0.943,0.788,0.04,-0.524,-0.927,-1.2
54.7,56,57,57.7,58.1,0.93,0.943,0.788,0.04,-0.524,-0.927
53.2,54.7,56,57,57.7,1.01,0.93,0.943,0.788,0.04,-0.524
52.1,53.2,54.7,56,57,1.14,1.01,0.93,0.943,0.788,0.04
51.6,52.1,53.2,54.7,56,1.2,1.14,1.01,0.93,0.943,0.788
51,51.6,52.1,53.2,54.7,1.05,1.2,1.14,1.01,0.93,0.943
50.5,51,51.6,52.1,53.2,0.595,1.05,1.2,1.14,1.01,0.93
50.4,50.5,51,51.6,52.1,-0.08,0.595,1.05,1.2,1.14,1.01
51,50.4,50.5,51,51.6,-0.314,-0.08,0.595,1.05,1.2,1.14
51.8,51,50.4,50.5,51,-0.288,-0.314,-0.08,0.595,1.05,1.2
52.4,51.8,51,50.4,50.5,-0.153,-0.288,-0.314,-0.08,0.595,1.05
53,52.4,51.8,51,50.4,-0.109,-0.153,-0.288,-0.314,-0.08,0.595
53.4,53,52.4,51.8,51,-0.187,-0.109,-0.153,-0.288,-0.314,-0.08
53.6,53.4,53,52.4,51.8,-0.255,-0.187,-0.109,-0.153,-0.288,-0.314
53.7,53.6,53.4,53,52.4,-0.229,-0.255,-0.187,-0.109,-0.153,-0.288
53.8,53.7,53.6,53.4,53,-0.007,-0.229,-0.255,-0.187,-0.109,-0.153
53.8,53.8,53.7,53.6,53.4,0.254,-0.007,-0.229,-0.255,-0.187,-0.109
53.8,53.8,53.8,53.7,53.6,0.33,0.254,-0.007,-0.229,-0.255,-0.187
53.3,53.8,53.8,53.8,53.7,0.102,0.33,0.254,-0.007,-0.229,-0.255
53,53.3,53.8,53.8,53.8,-0.423,0.102,0.33,0.254,-0.007,-0.229
52.9,53,53.3,53.8,53.8,-1.14,-0.423,0.102,0.33,0.254,-0.007
53.4,52.9,53,53.3,53.8,-2.28,-1.14,-0.423,0.102,0.33,0.254
54.6,53.4,52.9,53,53.3,-2.59,-2.28,-1.14,-0.423,0.102,0.33
56.4,54.6,53.4,52.9,53,-2.72,-2.59,-2.28,-1.14,-0.423,0.102
58,56.4,54.6,53.4,52.9,-2.51,-2.72,-2.59,-2.28,-1.14,-0.423
59.4,58,56.4,54.6,53.4,-1.79,-2.51,-2.72,-2.59,-2.28,-1.14
60.2,59.4,58,56.4,54.6,-1.35,-1.79,-2.51,-2.72,-2.59,-2.28
60,60.2,59.4,58,56.4,-1.08,-1.35,-1.79,-2.51,-2.72,-2.59
59.4,60,60.2,59.4,58,-0.91,-1.08,-1.35,-1.79,-2.51,-2.72
58.4,59.4,60,60.2,59.4,-0.876,-0.91,-1.08,-1.35,-1.79,-2.51
57.6,58.4,59.4,60,60.2,-0.885,-0.876,-0.91,-1.08,-1.35,-1.79
56.9,57.6,58.4,59.4,60,-0.8,-0.885,-0.876,-0.91,-1.08,-1.35
56.4,56.9,57.6,58.4,59.4,-0.544,-0.8,-0.885,-0.876,-0.91,-1.08
56,56.4,56.9,57.6,58.4,-0.416,-0.544,-0.8,-0.885,-0.876,-0.91
55.7,56,56.4,56.9,57.6,-0.271,-0.416,-0.544,-0.8,-0.885,-0.876
55.3,55.7,56,56.4,56.9,0,-0.271,-0.416,-0.544,-0.8,-0.885
55,55.3,55.7,56,56.4,0.403,0,-0.271,-0.416,-0.544,-0.8
54.4,55,55.3,55.7,56,0.841,0.403,0,-0.271,-0.416,-0.544
53.7,54.4,55,55.3,55.7,1.29,0.841,0.403,0,-0.271,-0.416
52.8,53.7,54.4,55,55.3,1.61,1.29,0.841,0.403,0,-0.271
51.6,52.8,53.7,54.4,55,1.75,1.61,1.29,0.841,0.403,0
50.6,51.6,52.8,53.7,54.4,1.68,1.75,1.61,1.29,0.841,0.403
49.4,50.6,51.6,52.8,53.7,1.49,1.68,1.75,1.61,1.29,0.841
48.8,49.4,50.6,51.6,52.8,0.993,1.49,1.68,1.75,1.61,1.29
48.5,48.8,49.4,50.6,51.6,0.648,0.993,1.49,1.68,1.75,1.61
48.7,48.5,48.8,49.4,50.6,0.577,0.648,0.993,1.49,1.68,1.75
49.2,48.7,48.5,48.8,49.4,0.577,0.577,0.648,0.993,1.49,1.68
49.8,49.2,48.7,48.5,48.8,0.632,0.577,0.577,0.648,0.993,1.49
50.4,49.8,49.2,48.7,48.5,0.747,0.632,0.577,0.577,0.648,0.993
50.7,50.4,49.8,49.2,48.7,0.9,0.747,0.632,0.577,0.577,0.648
50.9,50.7,50.4,49.8,49.2,0.993,0.9,0.747,0.632,0.577,0.577
50.7,50.9,50.7,50.4,49.8,0.968,0.993,0.9,0.747,0.632,0.577
50.5,50.7,50.9,50.7,50.4,0.79,0.968,0.993,0.9,0.747,0.632
50.4,50.5,50.7,50.9,50.7,0.399,0.79,0.968,0.993,0.9,0.747
50.2,50.4,50.5,50.7,50.9,-0.161,0.399,0.79,0.968,0.993,0.9
50.4,50.2,50.4,50.5,50.7,-0.553,-0.161,0.399,0.79,0.968,0.993
51.2,50.4,50.2,50.4,50.5,-0.603,-0.553,-0.161,0.399,0.79,0.968
52.3,51.2,50.4,50.2,50.4,-0.424,-0.603,-0.553,-0.161,0.399,0.79
53.2,52.3,51.2,50.4,50.2,-0.194,-0.424,-0.603,-0.553,-0.161,0.399
53.9,53.2,52.3,51.2,50.4,-0.049,-0.194,-0.424,-0.603,-0.553,-0.161
54.1,53.9,53.2,52.3,51.2,0.06,-0.049,-0.194,-0.424,-0.603,-0.553
54,54.1,53.9,53.2,52.3,0.161,0.06,-0.049,-0.194,-0.424,-0.603
53.6,54,54.1,53.9,53.2,0.301,0.161,0.06,-0.049,-0.194,-0.424
53.2,53.6,54,54.1,53.9,0.517,0.301,0.161,0.06,-0.049,-0.194
53,53.2,53.6,54,54.1,0.566,0.517,0.301,0.161,0.06,-0.049
52.8,53,53.2,53.6,54,0.56,0.566,0.517,0.301,0.161,0.06
52.3,52.8,53,53.2,53.6,0.573,0.56,0.566,0.517,0.301,0.161
51.9,52.3,52.8,53,53.2,0.592,0.573,0.56,0.566,0.517,0.301
51.6,51.9,52.3,52.8,53,0.671,0.592,0.573,0.56,0.566,0.517
51.6,51.6,51.9,52.3,52.8,0.933,0.671,0.592,0.573,0.56,0.566
51.4,51.6,51.6,51.9,52.3,1.34,0.933,0.671,0.592,0.573,0.56
51.2,51.4,51.6,51.6,51.9,1.46,1.34,0.933,0.671,0.592,0.573
50.7,51.2,51.4,51.6,51.6,1.35,1.46,1.34,0.933,0.671,0.592
50,50.7,51.2,51.4,51.6,0.772,1.35,1.46,1.34,0.933,0.671
49.4,50,50.7,51.2,51.4,0.218,0.772,1.35,1.46,1.34,0.933
49.3,49.4,50,50.7,51.2,-0.237,0.218,0.772,1.35,1.46,1.34
49.7,49.3,49.4,50,50.7,-0.714,-0.237,0.218,0.772,1.35,1.46
50.6,49.7,49.3,49.4,50,-1.1,-0.714,-0.237,0.218,0.772,1.35
51.8,50.6,49.7,49.3,49.4,-1.27,-1.1,-0.714,-0.237,0.218,0.772
53,51.8,50.6,49.7,49.3,-1.18,-1.27,-1.1,-0.714,-0.237,0.218
54,53,51.8,50.6,49.7,-0.676,-1.18,-1.27,-1.1,-0.714,-0.237
55.3,54,53,51.8,50.6,0.033,-0.676,-1.18,-1.27,-1.1,-0.714
55.9,55.3,54,53,51.8,0.556,0.033,-0.676,-1.18,-1.27,-1.1
55.9,55.9,55.3,54,53,0.643,0.556,0.033,-0.676,-1.18,-1.27
54.6,55.9,55.9,55.3,54,0.484,0.643,0.556,0.033,-0.676,-1.18
53.5,54.6,55.9,55.9,55.3,0.109,0.484,0.643,0.556,0.033,-0.676
52.4,53.5,54.6,55.9,55.9,-0.31,0.109,0.484,0.643,0.556,0.033
52.1,52.4,53.5,54.6,55.9,-0.697,-0.31,0.109,0.484,0.643,0.556
52.3,52.1,52.4,53.5,54.6,-1.05,-0.697,-0.31,0.109,0.484,0.643
53,52.3,52.1,52.4,53.5,-1.22,-1.05,-0.697,-0.31,0.109,0.484
53.8,53,52.3,52.1,52.4,-1.18,-1.22,-1.05,-0.697,-0.31,0.109
54.6,53.8,53,52.3,52.1,-0.873,-1.18,-1.22,-1.05,-0.697,-0.31
55.4,54.6,53.8,53,52.3,-0.336,-0.873,-1.18,-1.22,-1.05,-0.697
55.9,55.4,54.6,53.8,53,0.063,-0.336,-0.873,-1.18,-1.22,-1.05
55.9,55.9,55.4,54.6,53.8,0.084,0.063,-0.336,-0.873,-1.18,-1.22
55.2,55.9,55.9,55.4,54.6,0,0.084,0.063,-0.336,-0.873,-1.18
54.4,55.2,55.9,55.9,55.4,0.001,0,0.084,0.063,-0.336,-0.873
53.7,54.4,55.2,55.9,55.9,0.209,0.001,0,0.084,0.063,-0.336
53.6,53.7,54.4,55.2,55.9,0.556,0.209,0.001,0,0.084,0.063
53.6,53.6,53.7,54.4,55.2,0.782,0.556,0.209,0.001,0,0.084
53.2,53.6,53.6,53.7,54.4,0.858,0.782,0.556,0.209,0.001,0
52.5,53.2,53.6,53.6,53.7,0.918,0.858,0.782,0.556,0.209,0.001
52,52.5,53.2,53.6,53.6,0.862,0.918,0.858,0.782,0.556,0.209
51.4,52,52.5,53.2,53.6,0.416,0.862,0.918,0.858,0.782,0.556
51,51.4,52,52.5,53.2,-0.336,0.416,0.862,0.918,0.858,0.782
50.9,51,51.4,52,52.5,-0.959,-0.336,0.416,0.862,0.918,0.858
52.4,50.9,51,51.4,52,-1.81,-0.959,-0.336,0.416,0.862,0.918
53.5,52.4,50.9,51,51.4,-2.38,-1.81,-0.959,-0.336,0.416,0.862
55.6,53.5,52.4,50.9,51,-2.5,-2.38,-1.81,-0.959,-0.336,0.416
58,55.6,53.5,52.4,50.9,-2.47,-2.5,-2.38,-1.81,-0.959,-0.336
59.5,58,55.6,53.5,52.4,-2.33,-2.47,-2.5,-2.38,-1.81,-0.959
60,59.5,58,55.6,53.5,-2.05,-2.33,-2.47,-2.5,-2.38,-1.81
60.4,60,59.5,58,55.6,-1.74,-2.05,-2.33,-2.47,-2.5,-2.38
60.5,60.4,60,59.5,58,-1.26,-1.74,-2.05,-2.33,-2.47,-2.5
60.2,60.5,60.4,60,59.5,-0.569,-1.26,-1.74,-2.05,-2.33,-2.47
59.7,60.2,60.5,60.4,60,-0.137,-0.569,-1.26,-1.74,-2.05,-2.33
59,59.7,60.2,60.5,60.4,-0.024,-0.137,-0.569,-1.26,-1.74,-2.05
57.6,59,59.7,60.2,60.5,-0.05,-0.024,-0.137,-0.569,-1.26,-1.74
56.4,57.6,59,59.7,60.2,-0.135,-0.05,-0.024,-0.137,-0.569,-1.26
55.2,56.4,57.6,59,59.7,-0.276,-0.135,-0.05,-0.024,-0.137,-0.569
54.5,55.2,56.4,57.6,59,-0.534,-0.276,-0.135,-0.05,-0.024,-0.137
54.1,54.5,55.2,56.4,57.6,-0.871,-0.534,-0.276,-0.135,-0.05,-0.024
54.1,54.1,54.5,55.2,56.4,-1.24,-0.871,-0.534,-0.276,-0.135,-0.05
54.4,54.1,54.1,54.5,55.2,-1.44,-1.24,-0.871,-0.534,-0.276,-0.135
55.5,54.4,54.1,54.1,54.5,-1.42,-1.44,-1.24,-0.871,-0.534,-0.276
56.2,55.5,54.4,54.1,54.1,-1.18,-1.42,-1.44,-1.24,-0.871,-0.534
57,56.2,55.5,54.4,54.1,-0.813,-1.18,-1.42,-1.44,-1.24,-0.871
57.3,57,56.2,55.5,54.4,-0.634,-0.813,-1.18,-1.42,-1.44,-1.24
57.4,57.3,57,56.2,55.5,-0.582,-0.634,-0.813,-1.18,-1.42,-1.44
57,57.4,57.3,57,56.2,-0.625,-0.582,-0.634,-0.813,-1.18,-1.42
56.4,57,57.4,57.3,57,-0.713,-0.625,-0.582,-0.634,-0.813,-1.18
55.9,56.4,57,57.4,57.3,-0.848,-0.713,-0.625,-0.582,-0.634,-0.813
55.5,55.9,56.4,57,57.4,-1.04,-0.848,-0.713,-0.625,-0.582,-0.634
55.3,55.5,55.9,56.4,57,-1.35,-1.04,-0.848,-0.713,-0.625,-0.582
55.2,55.3,55.5,55.9,56.4,-1.63,-1.35,-1.04,-0.848,-0.713,-0.625
55.4,55.2,55.3,55.5,55.9,-1.62,-1.63,-1.35,-1.04,-0.848,-0.713
56,55.4,55.2,55.3,55.5,-1.15,-1.62,-1.63,-1.35,-1.04,-0.848
56.5,56,55.4,55.2,55.3,-0.488,-1.15,-1.62,-1.63,-1.35,-1.04
57.1,56.5,56,55.4,55.2,-0.16,-0.488,-1.15,-1.62,-1.63,-1.35
57.3,57.1,56.5,56,55.4,-0.007,-0.16,-0.488,-1.15,-1.62,-1.63
56.8,57.3,57.1,56.5,56,-0.092,-0.007,-0.16,-0.488,-1.15,-1.62
55.6,56.8,57.3,57.1,56.5,-0.62,-0.092,-0.007,-0.16,-0.488,-1.15
55,55.6,56.8,57.3,57.1,-1.09,-0.62,-0.092,-0.007,-0.16,-0.488
54.1,55,55.6,56.8,57.3,-1.53,-1.09,-0.62,-0.092,-0.007,-0.16
54.3,54.1,55,55.6,56.8,-1.86,-1.53,-1.09,-0.62,-0.092,-0.007
55.3,54.3,54.1,55,55.6,-2.03,-1.86,-1.53,-1.09,-0.62,-0.092
56.4,55.3,54.3,54.1,55,-2.02,-2.03,-1.86,-1.53,-1.09,-0.62
57.2,56.4,55.3,54.3,54.1,-1.96,-2.02,-2.03,-1.86,-1.53,-1.09
57.8,57.2,56.4,55.3,54.3,-1.95,-1.96,-2.02,-2.03,-1.86,-1.53
58.3,57.8,57.2,56.4,55.3,-1.79,-1.95,-1.96,-2.02,-2.03,-1.86
58.6,58.3,57.8,57.2,56.4,-1.3,-1.79,-1.95,-1.96,-2.02,-2.03
58.8,58.6,58.3,57.8,57.2,-1.03,-1.3,-1.79,-1.95,-1.96,-2.02
58.8,58.8,58.6,58.3,57.8,-0.918,-1.03,-1.3,-1.79,-1.95,-1.96
58.6,58.8,58.8,58.6,58.3,-0.798,-0.918,-1.03,-1.3,-1.79,-1.95
58,58.6,58.8,58.8,58.6,-0.867,-0.798,-0.918,-1.03,-1.3,-1.79
57.4,58,58.6,58.8,58.8,-1.05,-0.867,-0.798,-0.918,-1.03,-1.3
57,57.4,58,58.6,58.8,-1.12,-1.05,-0.867,-0.798,-0.918,-1.03
56.4,57,57.4,58,58.6,-0.876,-1.12,-1.05,-0.867,-0.798,-0.918
56.3,56.4,57,57.4,58,-0.395,-0.876,-1.12,-1.05,-0.867,-0.798
56.4,56.3,56.4,57,57.4,0.185,-0.395,-0.876,-1.12,-1.05,-0.867
56.4,56.4,56.3,56.4,57,0.662,0.185,-0.395,-0.876,-1.12,-1.05
56,56.4,56.4,56.3,56.4,0.709,0.662,0.185,-0.395,-0.876,-1.12
55.2,56,56.4,56.4,56.3,0.605,0.709,0.662,0.185,-0.395,-0.876
54,55.2,56,56.4,56.4,0.501,0.605,0.709,0.662,0.185,-0.395
53,54,55.2,56,56.4,0.603,0.501,0.605,0.709,0.662,0.185
52,53,54,55.2,56,0.943,0.603,0.501,0.605,0.709,0.662
51.6,52,53,54,55.2,1.22,0.943,0.603,0.501,0.605,0.709
51.6,51.6,52,53,54,1.25,1.22,0.943,0.603,0.501,0.605
51.1,51.6,51.6,52,53,0.824,1.25,1.22,0.943,0.603,0.501
50.4,51.1,51.6,51.6,52,0.102,0.824,1.25,1.22,0.943,0.603
50,50.4,51.1,51.6,51.6,0.025,0.102,0.824,1.25,1.22,0.943
50,50,50.4,51.1,51.6,0.382,0.025,0.102,0.824,1.25,1.22
52,50,50,50.4,51.1,0.922,0.382,0.025,0.102,0.824,1.25
54,52,50,50,50.4,1.03,0.922,0.382,0.025,0.102,0.824
55.1,54,52,50,50,0.866,1.03,0.922,0.382,0.025,0.102
54.5,55.1,54,52,50,0.527,0.866,1.03,0.922,0.382,0.025
52.8,54.5,55.1,54,52,0.093,0.527,0.866,1.03,0.922,0.382
51.4,52.8,54.5,55.1,54,-0.458,0.093,0.527,0.866,1.03,0.922
50.8,51.4,52.8,54.5,55.1,-0.748,-0.458,0.093,0.527,0.866,1.03
51.2,50.8,51.4,52.8,54.5,-0.947,-0.748,-0.458,0.093,0.527,0.866
52,51.2,50.8,51.4,52.8,-1.03,-0.947,-0.748,-0.458,0.093,0.527
52.8,52,51.2,50.8,51.4,-0.928,-1.03,-0.947,-0.748,-0.458,0.093
53.8,52.8,52,51.2,50.8,-0.645,-0.928,-1.03,-0.947,-0.748,-0.458
54.5,53.8,52.8,52,51.2,-0.424,-0.645,-0.928,-1.03,-0.947,-0.748
54.9,54.5,53.8,52.8,52,-0.276,-0.424,-0.645,-0.928,-1.03,-0.947
54.9,54.9,54.5,53.8,52.8,-0.158,-0.276,-0.424,-0.645,-0.928,-1.03
54.8,54.9,54.9,54.5,53.8,-0.033,-0.158,-0.276,-0.424,-0.645,-0.928
54.4,54.8,54.9,54.9,54.5,0.102,-0.033,-0.158,-0.276,-0.424,-0.645
53.7,54.4,54.8,54.9,54.9,0.251,0.102,-0.033,-0.158,-0.276,-0.424
53.3,53.7,54.4,54.8,54.9,0.28,0.251,0.102,-0.033,-0.158,-0.276
52.8,53.3,53.7,54.4,54.8,0,0.28,0.251,0.102,-0.033,-0.158
52.6,52.8,53.3,53.7,54.4,-0.493,0,0.28,0.251,0.102,-0.033
52.6,52.6,52.8,53.3,53.7,-0.759,-0.493,0,0.28,0.251,0.102
53,52.6,52.6,52.8,53.3,-0.824,-0.759,-0.493,0,0.28,0.251
54.3,53,52.6,52.6,52.8,-0.74,-0.824,-0.759,-0.493,0,0.28
56,54.3,53,52.6,52.6,-0.528,-0.74,-0.824,-0.759,-0.493,0
57,56,54.3,53,52.6,-0.204,-0.528,-0.74,-0.824,-0.759,-0.493
58,57,56,54.3,53,0.034,-0.204,-0.528,-0.74,-0.824,-0.759
58.6,58,57,56,54.3,0.204,0.034,-0.204,-0.528,-0.74,-0.824
58.5,58.6,58,57,56,0.253,0.204,0.034,-0.204,-0.528,-0.74
58.3,58.5,58.6,58,57,0.195,0.253,0.204,0.034,-0.204,-0.528
57.8,58.3,58.5,58.6,58,0.131,0.195,0.253,0.204,0.034,-0.204
57.3,57.8,58.3,58.5,58.6,0.017,0.131,0.195,0.253,0.204,0.034
57,57.3,57.8,58.3,58.5,-0.182,0.017,0.131,0.195,0.253,0.204
